metric_name,percentile,threshold_value,baseline_start_date,baseline_end_date
avg_merge_latency_hours,14.5,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,14.6,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,14.7,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,14.8,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,14.9,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,15.0,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,15.1,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,15.2,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,15.3,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,15.4,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,15.5,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,15.6,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,15.7,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,15.8,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,15.9,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,16.0,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,16.1,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,16.2,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,16.3,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,16.4,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,16.5,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,16.6,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,16.7,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,16.8,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,16.9,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,17.0,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,17.1,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,17.2,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,17.3,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,17.4,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,17.5,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,17.6,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,17.7,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,17.8,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,17.9,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,18.0,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,18.1,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,18.2,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,18.3,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,18.4,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,18.5,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,18.6,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,18.7,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,18.8,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,18.9,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,19.0,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,19.1,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,19.2,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,19.3,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,19.4,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,19.5,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,19.6,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,19.7,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,19.8,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,19.9,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,20.0,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,20.1,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,20.2,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,20.3,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,20.4,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,20.5,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,20.6,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,20.7,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,20.8,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,20.9,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,21.0,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,21.1,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,21.2,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,21.3,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,21.4,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,21.5,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,21.6,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,21.7,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,21.8,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,21.9,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,22.0,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,22.1,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,22.2,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,22.3,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,22.4,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,22.5,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,22.6,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,22.7,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,22.8,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,22.9,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,23.0,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,23.1,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,23.2,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,23.3,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,23.4,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,23.5,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,23.6,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,23.7,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,23.8,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,23.9,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,24.0,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,24.1,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,24.2,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,24.3,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,24.4,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,24.5,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,24.6,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,24.7,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,24.8,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,24.9,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,25.0,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,25.1,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,25.2,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,25.3,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,25.4,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,25.5,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,25.6,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,25.7,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,25.8,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,25.9,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,26.0,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,26.1,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,26.2,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,26.3,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,26.4,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,26.5,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,26.6,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,26.7,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,26.8,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,26.9,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,27.0,0.0,2022-10-01,2025-09-30
